# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.364, 4.034, 0.563, 0.569, 0.687, 0.378
0.182, 4.433, 0.168, 0.674, 0.811, 0.231
0.366, 4.129, 0.522, 0.454, 0.666, 0.366
0.989, 3.614, 1.223, 0.668, 0.445, 0.497
0.21, 4.249, 0.364, 0.712, 0.764, 0.445
0.154, 4.294, 0.216, 0.445, 0.796, 0.235
0.206, 4.094, 0.185, 0.514, 0.806, 0.36
0.543, 4.219, 0.671, 0.624, 0.624, 0.44
0.326, 3.893, 0.624, 0.589, 0.667, 0.259
0.257, 4.184, 0.521, 0.69, 0.741, 0.048
0.226, 4.251, 0.207, 0.67, 0.788, 0.451
0.349, 4.406, 0.441, 0.453, 0.677, 0.142
0.253, 4.653, 0.448, 0.379, 0.726, 0.2
0.161, 4.052, 0.301, 0.54, 0.773, 0.251
0.322, 3.94, 0.431, 0.568, 0.729, 0.402
0.204, 4.288, 0.35, 0.548, 0.771, 0.186
0.261, 4.855, 0.403, 0.559, 0.738, 0.231
0.9, 4.516, 1.003, 0.637, 0.495, 0.062
0.26, 4.903, 0.343, 0.542, 0.723, 0.311
0.294, 4.339, 0.523, 0.539, 0.703, 0.33
0.181, 4.205, 0.195, 0.733, 0.833, 0.217
0.383, 4.837, 0.644, 0.534, 0.653, 0.131
0.207, 4.758, 0.34, 0.574, 0.758, 0.437
0.199, 4.557, 0.199, 0.652, 0.799, 0.376
0.353, 5.497, 0.395, 0.392, 0.678, 0.306
0.233, 3.532, 0.134, 0.635, 0.816, 0.469
0.216, 4.267, 0.158, 0.665, 0.816, 0.416
0.151, 4.627, 0.254, 0.383, 0.796, 0.131
0.299, 3.767, 0.603, 0.615, 0.691, 0.19
0.306, 4.134, 0.492, 0.559, 0.722, 0.243
0.388, 4.337, 0.55, 0.573, 0.667, 0.337
0.333, 3.509, 0.527, 0.795, 0.699, 0.468
0.198, 5.692, 0.361, 0.526, 0.74, 0.033
0.174, 4.299, 0.225, 0.485, 0.775, 0.297
0.242, 4.71, 0.243, 0.376, 0.741, 0.367
0.257, 3.935, 0.327, 0.808, 0.787, 0.277
0.326, 3.893, 0.624, 0.589, 0.667, 0.259
0.296, 4.262, 0.47, 0.554, 0.716, 0.21
0.229, 4.197, 0.468, 0.614, 0.752, 0.088
0.196, 4.795, 0.121, 0.55, 0.808, 0.309
0.236, 4.402, 0.316, 0.55, 0.773, 0.349
0.214, 4.0, 0.264, 0.635, 0.807, 0.316
0.152, 4.729, 0.108, 0.657, 0.827, 0.409
0.231, 4.953, 0.354, 0.647, 0.732, 0.226
0.227, 4.295, 0.154, 0.543, 0.784, 0.288
0.177, 4.165, 0.319, 0.545, 0.767, 0.281
0.146, 4.212, 0.298, 0.497, 0.767, 0.188
0.277, 4.127, 0.289, 0.555, 0.751, 0.337
0.438, 4.192, 0.75, 0.609, 0.611, 0.432
0.143, 4.012, 0.152, 0.489, 0.829, 0.27
0.289, 4.455, 0.492, 0.596, 0.72, 0.177
0.187, 4.645, 0.423, 0.501, 0.765, 0.303
0.216, 4.52, 0.156, 0.667, 0.803, 0.464
0.362, 3.824, 0.502, 0.801, 0.699, 0.305
0.18, 4.057, 0.347, 0.521, 0.78, 0.306
0.205, 3.938, 0.383, 0.633, 0.786, 0.096
0.417, 3.565, 0.71, 0.599, 0.641, 0.335
0.313, 4.335, 0.475, 0.605, 0.698, 0.272
0.251, 4.161, 0.3, 0.602, 0.779, 0.466
0.281, 4.578, 0.367, 0.518, 0.705, 0.455
0.222, 3.573, 0.232, 0.474, 0.743, 0.385
0.405, 4.75, 0.614, 0.545, 0.633, 0.451
0.353, 3.717, 0.561, 0.598, 0.68, 0.43
0.293, 4.821, 0.461, 0.646, 0.72, 0.097
0.179, 5.216, 0.369, 0.591, 0.765, 0.165
0.153, 4.745, 0.211, 0.536, 0.824, 0.308
0.259, 4.499, 0.287, 0.6, 0.752, 0.457
0.195, 3.889, 0.288, 0.727, 0.786, 0.476
0.16, 5.036, 0.185, 0.511, 0.797, 0.115
0.206, 4.094, 0.185, 0.514, 0.806, 0.36
0.191, 5.232, 0.256, 0.445, 0.779, 0.14
0.226, 4.251, 0.207, 0.67, 0.788, 0.451
0.13, 3.791, 0.16, 0.617, 0.848, 0.332
0.212, 4.362, 0.173, 0.565, 0.804, 0.236
0.154, 4.288, 0.198, 0.572, 0.839, 0.115
0.303, 4.256, 0.414, 0.596, 0.724, 0.457
0.282, 4.075, 0.51, 0.533, 0.7, 0.455
0.292, 4.449, 0.279, 0.597, 0.732, 0.177
0.188, 4.047, 0.184, 0.519, 0.804, 0.336
0.265, 4.023, 0.46, 0.516, 0.719, 0.422
0.218, 4.872, 0.152, 0.379, 0.785, 0.202
0.13, 3.791, 0.16, 0.617, 0.848, 0.332
0.272, 4.335, 0.349, 0.575, 0.758, 0.495
0.235, 4.747, 0.24, 0.617, 0.791, 0.299
0.253, 4.922, 0.174, 0.627, 0.748, 0.092
0.198, 4.077, 0.459, 0.546, 0.751, 0.078
0.325, 3.877, 0.399, 0.671, 0.72, 0.462
0.326, 4.905, 0.316, 0.527, 0.707, 0.299
0.16, 4.72, 0.223, 0.538, 0.82, 0.311
0.226, 4.535, 0.365, 0.507, 0.74, 0.494
0.19, 4.691, 0.278, 0.577, 0.774, 0.327
0.449, 4.974, 0.783, 0.59, 0.606, 0.016
0.219, 3.899, 0.309, 0.692, 0.787, 0.419
0.192, 5.133, 0.283, 0.465, 0.759, 0.407
0.233, 4.521, 0.407, 0.63, 0.743, 0.41
0.317, 3.878, 0.546, 0.645, 0.706, 0.331
0.204, 4.391, 0.214, 0.557, 0.802, 0.224
0.169, 3.854, 0.266, 0.686, 0.79, 0.312
0.232, 3.645, 0.211, 0.492, 0.757, 0.457
0.316, 4.391, 0.586, 0.586, 0.667, 0.365
0.232, 4.301, 0.417, 0.612, 0.777, 0.187
0.177, 4.5, 0.304, 0.524, 0.763, 0.156
0.309, 4.686, 0.375, 0.592, 0.702, 0.316
0.2, 4.258, 0.179, 0.502, 0.785, 0.428
0.192, 5.133, 0.283, 0.465, 0.759, 0.407
0.234, 4.197, 0.287, 0.546, 0.752, 0.333
0.297, 3.998, 0.591, 0.56, 0.703, 0.221
0.33, 4.527, 0.586, 0.607, 0.692, 0.127
0.217, 4.396, 0.295, 0.644, 0.758, 0.452
0.253, 4.176, 0.225, 0.549, 0.768, 0.435
0.207, 4.889, 0.379, 0.593, 0.756, 0.219
0.25, 5.137, 0.556, 0.748, 0.732, 0.066
0.157, 3.857, 0.31, 0.701, 0.793, 0.161
0.152, 4.142, 0.185, 0.491, 0.793, 0.28
0.725, 3.785, 0.896, 0.695, 0.56, 0.49
0.192, 5.133, 0.283, 0.465, 0.759, 0.407
0.24, 5.169, 0.465, 0.628, 0.731, 0.326
0.189, 4.108, 0.145, 0.508, 0.819, 0.449
0.424, 4.626, 0.669, 0.672, 0.648, 0.216
0.309, 4.458, 0.274, 0.633, 0.777, 0.481
0.201, 4.029, 0.326, 0.533, 0.803, 0.187
0.299, 4.372, 0.459, 0.575, 0.702, 0.25
0.253, 3.871, 0.348, 0.72, 0.769, 0.242
0.739, 4.818, 0.929, 0.582, 0.508, 0.326
0.232, 4.811, 0.334, 0.601, 0.79, 0.186
0.285, 4.29, 0.451, 0.662, 0.721, 0.365
0.137, 3.903, 0.399, 0.547, 0.808, 0.212
0.169, 4.019, 0.167, 0.72, 0.784, 0.269
0.227, 4.174, 0.5, 0.637, 0.751, 0.045
0.252, 4.116, 0.244, 0.5, 0.753, 0.439
0.21, 3.942, 0.321, 0.705, 0.772, 0.465
0.166, 4.075, 0.28, 0.64, 0.786, 0.209
0.285, 4.185, 0.488, 0.506, 0.707, 0.444
0.739, 4.818, 0.929, 0.582, 0.508, 0.326
0.385, 4.198, 0.616, 0.659, 0.669, 0.294
0.146, 5.041, 0.18, 0.525, 0.802, 0.109
0.21, 3.942, 0.321, 0.705, 0.772, 0.465
0.237, 4.377, 0.382, 0.559, 0.745, 0.356
0.203, 4.153, 0.324, 0.542, 0.755, 0.367
0.157, 4.933, 0.157, 0.437, 0.803, 0.15
0.185, 3.917, 0.163, 0.547, 0.828, 0.409
0.184, 4.936, 0.166, 0.562, 0.792, 0.163
0.332, 3.897, 0.479, 0.637, 0.706, 0.446
0.175, 4.228, 0.314, 0.607, 0.807, 0.22
0.219, 3.899, 0.309, 0.692, 0.787, 0.419
0.221, 4.301, 0.399, 0.561, 0.742, 0.29
0.304, 4.585, 0.375, 0.445, 0.709, 0.039
0.203, 4.153, 0.324, 0.542, 0.755, 0.367
0.9, 4.516, 1.003, 0.637, 0.495, 0.062
0.151, 4.603, 0.201, 0.658, 0.821, 0.036
0.29, 4.195, 0.352, 0.571, 0.732, 0.412
0.32, 4.228, 0.438, 0.636, 0.695, 0.411
0.28, 4.461, 0.389, 0.574, 0.735, 0.256
0.347, 3.648, 0.587, 0.705, 0.719, 0.15
0.445, 4.639, 0.749, 0.608, 0.62, 0.139
0.203, 4.459, 0.197, 0.617, 0.831, 0.022
0.192, 4.34, 0.213, 0.61, 0.83, 0.045
0.251, 4.17, 0.297, 0.496, 0.747, 0.386
0.377, 4.358, 0.618, 0.584, 0.646, 0.427
0.656, 3.808, 0.793, 0.651, 0.586, 0.482
0.319, 3.62, 0.42, 0.68, 0.751, 0.316
0.174, 4.81, 0.205, 0.525, 0.799, 0.238
0.731, 4.516, 0.879, 0.588, 0.528, 0.21
0.9, 4.516, 1.003, 0.637, 0.495, 0.062
0.161, 4.847, 0.218, 0.537, 0.795, 0.255
0.23, 4.204, 0.307, 0.573, 0.783, 0.265
0.178, 4.094, 0.353, 0.757, 0.802, 0.087
0.299, 4.588, 0.505, 0.641, 0.697, 0.276
0.211, 3.915, 0.334, 0.5, 0.786, 0.171
0.849, 4.467, 0.961, 0.636, 0.517, 0.1
0.327, 4.528, 0.337, 0.446, 0.717, 0.447
0.137, 3.903, 0.399, 0.547, 0.808, 0.212
0.384, 4.066, 0.629, 0.674, 0.664, 0.331
0.206, 4.534, 0.324, 0.491, 0.744, 0.315
0.193, 4.699, 0.293, 0.486, 0.797, 0.223
0.319, 3.62, 0.42, 0.68, 0.751, 0.316
0.24, 4.466, 0.117, 0.413, 0.774, 0.389
0.174, 4.169, 0.316, 0.598, 0.772, 0.012
0.12, 3.838, 0.183, 0.453, 0.809, 0.272
0.298, 3.845, 0.409, 0.7, 0.738, 0.264
0.162, 4.673, 0.23, 0.57, 0.785, 0.138
0.35, 3.58, 0.636, 0.717, 0.659, 0.478
0.069, 4.402, 0.164, 0.584, 0.824, 0.209
0.253, 4.922, 0.174, 0.627, 0.748, 0.092
0.235, 3.787, 0.235, 0.502, 0.757, 0.435
0.23, 4.779, 0.442, 0.651, 0.747, 0.148
0.322, 4.55, 0.474, 0.499, 0.671, 0.291
0.279, 3.933, 0.453, 0.628, 0.719, 0.24
0.319, 3.62, 0.42, 0.68, 0.751, 0.316
0.498, 4.353, 0.663, 0.654, 0.643, 0.348
1.05, 4.303, 1.155, 0.637, 0.445, 0.01
0.27, 4.344, 0.349, 0.574, 0.757, 0.493
0.185, 4.157, 0.13, 0.426, 0.783, 0.451
0.201, 4.0, 0.181, 0.657, 0.798, 0.169
0.294, 3.856, 0.469, 0.696, 0.714, 0.397
0.234, 4.685, 0.434, 0.555, 0.772, 0.096
0.273, 3.792, 0.295, 0.892, 0.798, 0.35
0.311, 4.02, 0.459, 0.592, 0.71, 0.421
0.261, 5.016, 0.207, 0.42, 0.761, 0.432
0.159, 4.485, 0.216, 0.56, 0.808, 0.226
0.194, 4.339, 0.338, 0.587, 0.765, 0.062
0.129, 3.776, 0.316, 0.743, 0.798, 0.08
0.725, 3.785, 0.896, 0.695, 0.56, 0.49
0.261, 4.758, 0.419, 0.574, 0.736, 0.412
0.276, 4.098, 0.307, 0.51, 0.728, 0.457
0.288, 4.335, 0.418, 0.496, 0.721, 0.146
0.214, 4.476, 0.365, 0.486, 0.743, 0.45
0.656, 3.808, 0.793, 0.651, 0.586, 0.482
0.256, 4.667, 0.394, 0.583, 0.73, 0.165
0.303, 4.256, 0.414, 0.596, 0.724, 0.457
0.198, 4.343, 0.329, 0.607, 0.768, 0.178
0.267, 5.059, 0.147, 0.44, 0.745, 0.326
0.338, 4.844, 0.55, 0.466, 0.664, 0.156
0.275, 4.6, 0.409, 0.53, 0.697, 0.403
0.339, 3.867, 0.559, 0.659, 0.695, 0.139
0.231, 4.04, 0.277, 0.723, 0.796, 0.048
0.283, 5.536, 0.4, 0.48, 0.699, 0.183
0.152, 4.729, 0.108, 0.657, 0.827, 0.409
0.213, 3.793, 0.333, 0.466, 0.782, 0.123
0.869, 3.597, 1.124, 0.7, 0.497, 0.473
0.226, 4.201, 0.514, 0.631, 0.748, 0.038
0.317, 3.493, 0.28, 0.69, 0.756, 0.436
0.378, 4.474, 0.351, 0.417, 0.684, 0.263
0.219, 4.162, 0.211, 0.693, 0.814, 0.134
0.096, 4.659, 0.212, 0.52, 0.858, 0.079
0.366, 4.566, 0.506, 0.507, 0.676, 0.242
0.206, 4.785, 0.114, 0.383, 0.799, 0.237
0.333, 3.732, 0.428, 0.683, 0.741, 0.374
0.201, 4.666, 0.367, 0.498, 0.73, 0.347
0.317, 3.973, 0.524, 0.64, 0.708, 0.146
0.183, 3.917, 0.155, 0.544, 0.831, 0.412
0.162, 4.716, 0.176, 0.544, 0.812, 0.154
0.438, 4.192, 0.75, 0.609, 0.611, 0.432
0.217, 4.217, 0.484, 0.556, 0.751, 0.182
0.209, 4.164, 0.209, 0.687, 0.821, 0.154
0.301, 3.938, 0.403, 0.641, 0.746, 0.401
0.135, 3.812, 0.234, 0.548, 0.805, 0.016
0.11, 3.574, 0.131, 0.667, 0.882, 0.253
0.31, 4.464, 0.436, 0.459, 0.698, 0.176
0.279, 3.438, 0.591, 0.638, 0.72, 0.269
0.35, 3.724, 0.562, 0.605, 0.681, 0.427
0.355, 4.593, 0.458, 0.483, 0.687, 0.287
0.183, 3.917, 0.155, 0.544, 0.831, 0.412
0.268, 4.57, 0.273, 0.474, 0.748, 0.371
0.239, 4.367, 0.385, 0.559, 0.744, 0.366
0.422, 3.989, 0.495, 0.582, 0.685, 0.426
0.146, 4.212, 0.298, 0.497, 0.767, 0.188
0.208, 4.296, 0.265, 0.664, 0.789, 0.175
0.293, 4.821, 0.461, 0.646, 0.72, 0.097
0.321, 4.012, 0.432, 0.558, 0.727, 0.38
0.29, 4.799, 0.449, 0.643, 0.722, 0.122
0.155, 5.07, 0.176, 0.507, 0.8, 0.109
0.299, 3.767, 0.603, 0.615, 0.691, 0.19
0.201, 4.67, 0.366, 0.498, 0.731, 0.345
0.14, 4.629, 0.123, 0.594, 0.832, 0.257
0.427, 3.66, 0.447, 0.639, 0.655, 0.335
0.287, 4.111, 0.335, 0.526, 0.724, 0.468
0.212, 4.926, 0.361, 0.554, 0.75, 0.429
0.294, 4.171, 0.31, 0.619, 0.729, 0.393
0.423, 3.634, 0.709, 0.596, 0.637, 0.326
0.207, 3.816, 0.117, 0.735, 0.812, 0.311
0.201, 4.434, 0.224, 0.745, 0.811, 0.071
0.493, 3.904, 0.829, 0.554, 0.603, 0.164
0.265, 4.301, 0.398, 0.452, 0.737, 0.335
0.183, 3.917, 0.155, 0.544, 0.831, 0.412
0.195, 3.889, 0.288, 0.727, 0.786, 0.476
0.246, 4.046, 0.301, 0.686, 0.772, 0.4
0.298, 4.721, 0.512, 0.623, 0.707, 0.168
0.311, 3.941, 0.361, 0.608, 0.723, 0.458
0.137, 4.652, 0.15, 0.541, 0.821, 0.31
0.2, 4.335, 0.273, 0.587, 0.793, 0.313
0.238, 4.19, 0.333, 0.501, 0.742, 0.352
0.162, 4.673, 0.23, 0.57, 0.785, 0.138
0.257, 4.322, 0.273, 0.64, 0.766, 0.419
0.23, 5.177, 0.371, 0.532, 0.733, 0.184
0.251, 3.879, 0.429, 0.628, 0.716, 0.3
0.131, 4.752, 0.111, 0.525, 0.838, 0.132
0.9, 4.516, 1.003, 0.637, 0.495, 0.062
0.227, 4.295, 0.154, 0.543, 0.784, 0.288
0.35, 4.726, 0.597, 0.546, 0.667, 0.208
0.175, 4.217, 0.3, 0.752, 0.802, 0.108
0.989, 3.614, 1.223, 0.668, 0.445, 0.497
0.498, 4.353, 0.663, 0.654, 0.643, 0.348
0.185, 4.15, 0.236, 0.665, 0.823, 0.23
0.415, 3.492, 0.636, 0.616, 0.655, 0.425
0.232, 4.031, 0.278, 0.725, 0.795, 0.065
0.147, 4.462, 0.17, 0.724, 0.837, 0.462
0.231, 3.823, 0.405, 0.614, 0.766, 0.234
0.498, 4.353, 0.663, 0.654, 0.643, 0.348
0.303, 4.552, 0.454, 0.563, 0.707, 0.49
0.183, 4.087, 0.224, 0.639, 0.824, 0.327
0.219, 4.121, 0.31, 0.504, 0.768, 0.357
0.191, 5.232, 0.256, 0.445, 0.779, 0.14
0.452, 3.806, 0.521, 0.662, 0.651, 0.442
0.234, 4.447, 0.289, 0.615, 0.757, 0.238
0.214, 4.364, 0.164, 0.451, 0.8, 0.352
0.438, 3.338, 0.716, 0.623, 0.65, 0.206
0.221, 4.172, 0.478, 0.626, 0.754, 0.061
0.373, 4.607, 0.548, 0.411, 0.646, 0.424
0.206, 3.852, 0.356, 0.547, 0.774, 0.441
0.9, 4.516, 1.003, 0.637, 0.495, 0.062
0.35, 3.724, 0.562, 0.605, 0.681, 0.427
0.656, 3.808, 0.792, 0.651, 0.586, 0.482
0.814, 3.731, 1.054, 0.68, 0.514, 0.459
0.183, 4.653, 0.421, 0.497, 0.767, 0.3
0.32, 3.865, 0.552, 0.643, 0.704, 0.329
0.383, 5.055, 0.517, 0.556, 0.66, 0.449
0.273, 3.525, 0.293, 0.664, 0.767, 0.464
0.254, 4.445, 0.275, 0.597, 0.758, 0.465
0.889, 3.701, 1.133, 0.677, 0.486, 0.471
0.211, 4.438, 0.243, 0.706, 0.795, 0.121
0.103, 4.502, 0.206, 0.552, 0.855, 0.134
0.305, 3.569, 0.272, 0.69, 0.763, 0.405
0.293, 4.568, 0.262, 0.402, 0.723, 0.416
0.339, 3.867, 0.559, 0.659, 0.695, 0.139
0.129, 4.322, 0.264, 0.599, 0.802, 0.384
0.322, 3.963, 0.542, 0.699, 0.691, 0.326
0.773, 4.425, 0.916, 0.624, 0.513, 0.132
0.137, 3.903, 0.399, 0.547, 0.808, 0.212
0.141, 4.231, 0.172, 0.487, 0.794, 0.312
0.346, 4.903, 0.4, 0.62, 0.666, 0.374
0.449, 4.974, 0.783, 0.59, 0.606, 0.016
0.234, 4.561, 0.383, 0.436, 0.745, 0.27
0.211, 3.853, 0.356, 0.622, 0.787, 0.405
0.115, 5.222, 0.157, 0.515, 0.812, 0.212
0.907, 3.68, 1.115, 0.647, 0.479, 0.486
0.312, 4.546, 0.491, 0.657, 0.712, 0.219
0.107, 4.92, 0.119, 0.569, 0.845, 0.346
0.149, 4.574, 0.137, 0.626, 0.834, 0.376
0.296, 4.656, 0.335, 0.618, 0.719, 0.496
0.362, 3.824, 0.502, 0.801, 0.699, 0.305
0.253, 4.64, 0.216, 0.458, 0.766, 0.389
0.451, 4.333, 0.731, 0.65, 0.636, 0.374
0.222, 4.12, 0.332, 0.567, 0.759, 0.133
0.1, 4.5, 0.138, 0.575, 0.84, 0.394
0.268, 4.888, 0.282, 0.452, 0.713, 0.194
0.292, 4.061, 0.521, 0.525, 0.692, 0.498
0.163, 4.823, 0.187, 0.541, 0.808, 0.281
0.205, 4.796, 0.113, 0.381, 0.799, 0.235
0.217, 3.789, 0.349, 0.586, 0.777, 0.22
0.329, 5.208, 0.585, 0.491, 0.661, 0.118
0.362, 3.824, 0.502, 0.801, 0.699, 0.305
0.309, 4.246, 0.267, 0.46, 0.736, 0.351
0.251, 4.204, 0.427, 0.594, 0.758, 0.32
0.131, 3.778, 0.321, 0.74, 0.796, 0.084
0.267, 4.114, 0.489, 0.725, 0.734, 0.008
0.383, 4.837, 0.644, 0.534, 0.653, 0.131
0.305, 4.034, 0.421, 0.764, 0.732, 0.229
0.183, 3.917, 0.155, 0.544, 0.831, 0.412
0.202, 5.026, 0.323, 0.421, 0.763, 0.379
0.152, 4.605, 0.213, 0.658, 0.819, 0.036
0.656, 3.808, 0.793, 0.651, 0.586, 0.482
0.364, 3.785, 0.638, 0.66, 0.691, 0.363
0.274, 4.637, 0.451, 0.52, 0.729, 0.441
0.171, 4.287, 0.275, 0.666, 0.81, 0.354
0.239, 4.931, 0.419, 0.583, 0.735, 0.345
0.227, 3.924, 0.368, 0.767, 0.787, 0.06
0.373, 4.633, 0.483, 0.582, 0.68, 0.369
0.917, 4.504, 1.024, 0.642, 0.489, 0.055
0.302, 4.594, 0.377, 0.575, 0.713, 0.291
0.257, 4.322, 0.273, 0.64, 0.766, 0.419
0.242, 3.78, 0.39, 0.606, 0.762, 0.197
0.246, 4.046, 0.301, 0.686, 0.772, 0.4
0.278, 3.934, 0.453, 0.627, 0.72, 0.24
0.369, 4.087, 0.53, 0.538, 0.682, 0.344
0.27, 5.235, 0.498, 0.485, 0.709, 0.293
0.214, 3.91, 0.145, 0.476, 0.786, 0.053
0.199, 4.538, 0.187, 0.433, 0.768, 0.345
0.288, 4.335, 0.418, 0.496, 0.721, 0.146
0.15, 5.441, 0.112, 0.552, 0.817, 0.012
0.273, 3.792, 0.295, 0.892, 0.798, 0.35
0.173, 4.819, 0.185, 0.518, 0.802, 0.261
0.288, 4.236, 0.376, 0.615, 0.738, 0.467
0.354, 3.559, 0.462, 0.659, 0.711, 0.327
0.305, 3.092, 0.338, 0.752, 0.75, 0.485
0.278, 3.954, 0.448, 0.628, 0.723, 0.239
0.382, 5.383, 0.6, 0.547, 0.667, 0.021
0.163, 4.027, 0.302, 0.497, 0.775, 0.183
0.222, 4.12, 0.332, 0.567, 0.759, 0.133
0.285, 4.185, 0.488, 0.506, 0.707, 0.444
0.222, 3.573, 0.232, 0.474, 0.743, 0.385
0.478, 3.963, 0.809, 0.552, 0.61, 0.16
0.353, 3.717, 0.561, 0.598, 0.68, 0.43
0.339, 4.399, 0.606, 0.511, 0.651, 0.366
0.249, 4.083, 0.29, 0.494, 0.748, 0.404
0.205, 4.501, 0.247, 0.689, 0.796, 0.076
0.382, 4.522, 0.566, 0.457, 0.646, 0.039
0.217, 4.217, 0.484, 0.556, 0.751, 0.182
0.253, 4.131, 0.229, 0.581, 0.768, 0.284
0.207, 4.758, 0.34, 0.574, 0.758, 0.437
0.328, 4.615, 0.458, 0.546, 0.683, 0.152
0.192, 5.133, 0.283, 0.465, 0.759, 0.407
0.185, 4.157, 0.13, 0.426, 0.783, 0.451
0.258, 4.484, 0.272, 0.593, 0.753, 0.492
0.244, 4.539, 0.202, 0.703, 0.771, 0.498
0.278, 4.36, 0.306, 0.617, 0.771, 0.466
0.232, 4.811, 0.334, 0.601, 0.79, 0.186
0.248, 3.871, 0.53, 0.616, 0.745, 0.224
0.132, 3.693, 0.165, 0.649, 0.862, 0.284
0.268, 3.897, 0.446, 0.618, 0.708, 0.294
0.323, 5.058, 0.483, 0.417, 0.672, 0.062
0.889, 3.701, 1.133, 0.677, 0.486, 0.471
0.201, 4.581, 0.32, 0.544, 0.767, 0.163
0.187, 4.551, 0.281, 0.582, 0.763, 0.205
0.132, 3.959, 0.166, 0.736, 0.861, 0.162
0.197, 4.771, 0.196, 0.575, 0.787, 0.157
0.284, 4.717, 0.339, 0.489, 0.707, 0.316
0.9, 4.516, 1.003, 0.637, 0.495, 0.062
0.187, 4.955, 0.177, 0.406, 0.79, 0.448
0.317, 4.524, 0.463, 0.504, 0.677, 0.292
0.232, 3.937, 0.357, 0.713, 0.778, 0.129
0.321, 4.012, 0.432, 0.558, 0.727, 0.38
0.257, 4.184, 0.521, 0.69, 0.741, 0.048
0.271, 4.484, 0.513, 0.592, 0.717, 0.071
0.283, 4.569, 0.226, 0.49, 0.744, 0.331
0.257, 4.322, 0.273, 0.64, 0.766, 0.419
0.309, 4.947, 0.442, 0.594, 0.706, 0.148
0.183, 3.992, 0.229, 0.659, 0.796, 0.464
0.147, 4.11, 0.281, 0.62, 0.849, 0.211
0.199, 4.538, 0.187, 0.433, 0.768, 0.345
0.194, 4.616, 0.356, 0.505, 0.763, 0.335
0.26, 4.821, 0.512, 0.521, 0.706, 0.101
0.146, 4.212, 0.298, 0.497, 0.767, 0.188
0.211, 4.845, 0.28, 0.458, 0.761, 0.433
0.21, 4.956, 0.272, 0.342, 0.766, 0.347
0.168, 4.541, 0.177, 0.567, 0.831, 0.272
0.268, 4.168, 0.405, 0.774, 0.751, 0.405
0.203, 4.153, 0.324, 0.542, 0.755, 0.367
0.385, 4.032, 0.522, 0.609, 0.673, 0.394
0.238, 4.375, 0.28, 0.573, 0.765, 0.252
0.369, 4.006, 0.47, 0.647, 0.686, 0.42
0.171, 4.335, 0.191, 0.603, 0.798, 0.18
0.293, 4.568, 0.262, 0.402, 0.723, 0.416
0.267, 4.853, 0.356, 0.513, 0.737, 0.25
0.229, 4.027, 0.249, 0.731, 0.801, 0.052
0.277, 4.127, 0.289, 0.555, 0.751, 0.337
0.172, 4.297, 0.221, 0.485, 0.776, 0.299
0.243, 4.157, 0.235, 0.501, 0.758, 0.434
0.272, 4.386, 0.405, 0.608, 0.731, 0.294
0.175, 4.217, 0.3, 0.752, 0.802, 0.108
0.308, 4.338, 0.277, 0.457, 0.734, 0.349
0.224, 4.647, 0.309, 0.537, 0.76, 0.176
0.319, 3.62, 0.42, 0.68, 0.751, 0.316
1.131, 4.152, 1.253, 0.653, 0.408, 0.016
0.437, 4.146, 0.67, 0.455, 0.63, 0.252
0.241, 4.101, 0.353, 0.526, 0.762, 0.112
0.329, 3.31, 0.358, 0.691, 0.751, 0.401
0.174, 4.947, 0.297, 0.68, 0.758, 0.138
0.126, 4.427, 0.266, 0.519, 0.781, 0.351
0.608, 4.895, 0.702, 0.556, 0.57, 0.081
0.169, 4.495, 0.157, 0.506, 0.812, 0.374
0.172, 4.297, 0.221, 0.485, 0.776, 0.299
0.275, 4.522, 0.46, 0.493, 0.703, 0.434
0.279, 4.296, 0.381, 0.589, 0.737, 0.441
0.224, 4.647, 0.309, 0.537, 0.76, 0.176
0.261, 4.508, 0.286, 0.597, 0.751, 0.464
0.22, 4.915, 0.287, 0.426, 0.732, 0.453
0.196, 4.706, 0.367, 0.606, 0.757, 0.438
0.188, 4.047, 0.184, 0.519, 0.804, 0.336
0.176, 4.114, 0.432, 0.497, 0.761, 0.233
0.195, 5.505, 0.458, 0.599, 0.739, 0.188
0.16, 5.029, 0.395, 0.649, 0.771, 0.131
0.199, 4.046, 0.318, 0.537, 0.804, 0.194
0.278, 4.179, 0.298, 0.661, 0.75, 0.326
0.205, 3.841, 0.32, 0.483, 0.787, 0.147
0.311, 4.037, 0.436, 0.65, 0.728, 0.316
0.341, 4.249, 0.432, 0.615, 0.675, 0.292
0.275, 4.523, 0.46, 0.491, 0.703, 0.434
0.364, 3.772, 0.583, 0.62, 0.685, 0.35
0.167, 4.716, 0.29, 0.549, 0.763, 0.127
0.336, 4.687, 0.271, 0.361, 0.707, 0.213
0.28, 5.069, 0.513, 0.491, 0.703, 0.304
0.731, 4.516, 0.879, 0.588, 0.528, 0.21
0.26, 4.299, 0.385, 0.574, 0.73, 0.187
0.212, 4.131, 0.37, 0.671, 0.76, 0.031
0.285, 4.29, 0.451, 0.662, 0.721, 0.365
0.13, 3.791, 0.16, 0.617, 0.848, 0.332
0.231, 4.04, 0.277, 0.723, 0.796, 0.048
0.194, 4.339, 0.338, 0.587, 0.765, 0.062
0.157, 3.857, 0.31, 0.701, 0.793, 0.161
