# m [GeV], BG [GeV^{-2}], BGq [GeV^{-2}], smearingWidth, Nq, Qsg2muRatio, dqMin [fm]
0.782, 4.187, 0.616, 0.822, 7.997, 0.497, 0.331
1.276, 4.413, 0.824, 1.001, 9.581, 0.386, 0.493
0.389, 3.749, 0.479, 0.839, 7.129, 0.638, 0.222
0.109, 9.545, 0.191, 0.471, 1.303, 0.88, 0.346
0.994, 4.31, 0.699, 0.835, 8.833, 0.446, 0.039
0.352, 3.618, 0.361, 0.941, 7.288, 0.684, 0.257
0.098, 7.165, 0.32, 0.52, 1.689, 0.878, 0.271
0.24, 3.852, 0.286, 0.61, 4.599, 0.707, 0.185
0.097, 4.998, 0.2, 0.296, 2.267, 0.871, 0.394
0.725, 3.67, 0.515, 0.994, 9.584, 0.528, 0.19
0.483, 4.353, 0.403, 0.774, 7.104, 0.607, 0.127
0.44, 3.724, 0.364, 0.818, 6.373, 0.668, 0.112
0.492, 3.872, 0.53, 0.773, 6.327, 0.604, 0.348
0.32, 4.165, 0.233, 0.89, 5.385, 0.693, 0.045
0.167, 7.857, 0.484, 0.535, 1.826, 0.799, 0.059
0.587, 4.489, 0.416, 1.016, 9.707, 0.56, 0.005
0.325, 3.021, 0.207, 0.954, 8.167, 0.741, 0.359
1.868, 4.252, 0.851, 0.857, 6.571, 0.31, 0.428
0.64, 3.641, 0.354, 1.036, 8.342, 0.572, 0.103
0.158, 6.228, 0.305, 0.438, 2.098, 0.797, 0.475
0.297, 3.697, 0.292, 0.792, 5.7, 0.682, 0.038
1.002, 3.737, 0.616, 0.843, 8.612, 0.449, 0.287
0.304, 4.018, 0.424, 0.441, 3.574, 0.705, 0.491
0.229, 3.724, 0.154, 0.761, 4.346, 0.772, 0.22
0.462, 4.248, 0.234, 1.01, 9.356, 0.618, 0.08
0.476, 4.876, 0.548, 0.685, 4.614, 0.581, 0.272
1.676, 5.139, 1.064, 0.741, 6.898, 0.304, 0.026
0.524, 3.928, 0.472, 0.807, 6.842, 0.581, 0.423
0.546, 4.379, 0.413, 0.709, 7.3, 0.567, 0.215
0.493, 3.735, 0.451, 1.036, 8.008, 0.597, 0.489
0.466, 4.036, 0.387, 0.839, 7.586, 0.617, 0.179
0.476, 3.512, 0.241, 0.816, 7.668, 0.631, 0.368
0.491, 3.34, 0.224, 0.905, 7.702, 0.641, 0.357
0.411, 3.736, 0.453, 0.647, 3.78, 0.663, 0.488
0.314, 4.871, 0.296, 0.481, 2.906, 0.707, 0.464
1.6, 4.257, 0.959, 0.983, 9.927, 0.323, 0.247
1.041, 4.054, 0.796, 0.916, 8.515, 0.438, 0.123
0.274, 3.288, 0.242, 0.972, 5.945, 0.751, 0.407
0.761, 3.896, 0.531, 0.754, 6.924, 0.497, 0.012
0.394, 4.184, 0.361, 0.831, 5.067, 0.672, 0.195
0.488, 3.17, 0.305, 1.012, 9.745, 0.62, 0.419
0.947, 4.283, 0.766, 0.919, 8.687, 0.455, 0.334
0.432, 4.169, 0.282, 1.073, 9.47, 0.653, 0.049
0.581, 4.438, 0.455, 0.844, 5.187, 0.575, 0.394
0.231, 3.765, 0.42, 0.535, 2.881, 0.778, 0.489
0.438, 4.185, 0.328, 0.794, 7.166, 0.64, 0.162
0.461, 3.749, 0.34, 0.953, 6.558, 0.637, 0.121
0.852, 4.307, 0.653, 0.872, 7.782, 0.476, 0.272
0.418, 3.777, 0.537, 0.804, 3.686, 0.688, 0.161
0.186, 6.143, 0.309, 0.293, 1.982, 0.784, 0.491
0.392, 3.36, 0.187, 1.055, 9.646, 0.663, 0.382
0.111, 4.824, 0.372, 0.344, 1.913, 0.858, 0.422
1.44, 4.463, 0.912, 0.958, 9.182, 0.356, 0.228
0.954, 3.496, 0.712, 0.872, 5.743, 0.467, 0.396
0.526, 4.093, 0.554, 0.918, 9.237, 0.55, 0.302
0.331, 4.835, 0.347, 0.818, 5.466, 0.669, 0.033
