# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.085, 3.269, 0.191, 0.71, 0.613, 0.439
0.188, 3.654, 0.506, 0.479, 0.566, 0.17
0.145, 4.187, 0.415, 0.583, 0.577, 0.096
0.129, 4.106, 0.398, 0.442, 0.56, 0.474
0.134, 3.62, 0.225, 0.547, 0.601, 0.41
0.117, 4.38, 0.417, 0.589, 0.602, 0.038
0.072, 4.005, 0.301, 0.687, 0.633, 0.148
0.115, 3.51, 0.176, 0.688, 0.604, 0.448
0.095, 3.843, 0.311, 0.453, 0.62, 0.198
0.186, 4.369, 0.457, 0.492, 0.547, 0.441
0.125, 3.335, 0.441, 0.622, 0.591, 0.47
0.083, 3.985, 0.374, 0.51, 0.59, 0.149
0.119, 3.897, 0.299, 0.634, 0.584, 0.466
0.128, 3.689, 0.339, 0.685, 0.579, 0.388
0.068, 3.46, 0.302, 0.739, 0.655, 0.001
0.182, 3.749, 0.433, 0.612, 0.59, 0.311
0.088, 3.929, 0.244, 0.503, 0.605, 0.324
0.096, 4.073, 0.326, 0.5, 0.616, 0.063
0.104, 3.474, 0.208, 0.646, 0.618, 0.441
0.063, 3.811, 0.217, 0.664, 0.618, 0.373
0.07, 4.555, 0.368, 0.556, 0.584, 0.33
0.1, 4.202, 0.395, 0.544, 0.619, 0.064
0.093, 3.943, 0.301, 0.646, 0.615, 0.104
0.057, 3.749, 0.203, 0.797, 0.658, 0.317
0.09, 3.731, 0.422, 0.486, 0.557, 0.296
0.066, 3.849, 0.117, 0.595, 0.648, 0.29
0.093, 4.532, 0.19, 0.572, 0.601, 0.35
0.098, 4.14, 0.462, 0.426, 0.557, 0.233
0.051, 3.884, 0.185, 0.389, 0.63, 0.204
0.093, 3.755, 0.389, 0.545, 0.59, 0.073
0.091, 2.922, 0.326, 0.674, 0.593, 0.435
0.076, 3.744, 0.467, 0.624, 0.593, 0.304
0.127, 3.566, 0.512, 0.686, 0.579, 0.276
0.149, 3.753, 0.507, 0.706, 0.606, 0.164
0.099, 3.967, 0.447, 0.415, 0.569, 0.033
0.141, 3.244, 0.369, 0.563, 0.6, 0.399
0.172, 3.912, 0.502, 0.675, 0.572, 0.435
0.112, 3.402, 0.282, 0.67, 0.622, 0.312
0.117, 4.127, 0.426, 0.562, 0.593, 0.059
0.08, 3.723, 0.122, 0.452, 0.633, 0.01
0.117, 4.104, 0.25, 0.536, 0.615, 0.218
0.132, 4.006, 0.301, 0.706, 0.582, 0.494
0.113, 3.822, 0.324, 0.613, 0.598, 0.442
0.081, 4.454, 0.263, 0.484, 0.623, 0.032
0.112, 3.716, 0.353, 0.558, 0.598, 0.22
0.058, 3.885, 0.121, 0.661, 0.622, 0.332
0.071, 4.111, 0.357, 0.488, 0.6, 0.252
0.102, 3.774, 0.347, 0.526, 0.581, 0.418
0.093, 3.45, 0.359, 0.636, 0.586, 0.091
0.102, 4.288, 0.337, 0.555, 0.594, 0.238
0.091, 3.377, 0.244, 0.584, 0.602, 0.348
0.083, 3.886, 0.266, 0.506, 0.61, 0.025
0.14, 4.128, 0.406, 0.438, 0.594, 0.295
0.077, 4.043, 0.142, 0.573, 0.627, 0.366
0.075, 4.29, 0.223, 0.584, 0.607, 0.316
0.067, 3.781, 0.32, 0.588, 0.619, 0.364
0.168, 3.907, 0.543, 0.61, 0.554, 0.466
0.143, 4.301, 0.294, 0.495, 0.603, 0.363
0.078, 4.209, 0.257, 0.654, 0.588, 0.15
0.069, 4.462, 0.234, 0.608, 0.631, 0.1
0.066, 3.564, 0.273, 0.604, 0.604, 0.413
0.148, 3.531, 0.456, 0.547, 0.586, 0.497
0.092, 3.457, 0.29, 0.631, 0.618, 0.318
0.292, 3.977, 0.724, 0.574, 0.511, 0.443
0.102, 4.351, 0.231, 0.489, 0.594, 0.027
0.06, 3.681, 0.265, 0.437, 0.596, 0.49
0.134, 3.656, 0.401, 0.644, 0.595, 0.329
0.145, 4.194, 0.338, 0.493, 0.571, 0.358
0.09, 3.938, 0.291, 0.394, 0.584, 0.081
0.165, 4.0, 0.43, 0.577, 0.557, 0.466
0.09, 4.327, 0.238, 0.519, 0.603, 0.071
0.118, 3.654, 0.411, 0.599, 0.584, 0.483
0.117, 3.393, 0.44, 0.607, 0.595, 0.33
0.126, 3.894, 0.185, 0.539, 0.608, 0.238
0.06, 4.105, 0.166, 0.522, 0.625, 0.133
0.16, 4.38, 0.495, 0.499, 0.547, 0.163
0.083, 3.584, 0.254, 0.499, 0.645, 0.283
0.096, 3.575, 0.301, 0.53, 0.612, 0.368
0.143, 3.871, 0.135, 0.437, 0.632, 0.382
0.147, 3.341, 0.467, 0.476, 0.574, 0.32
0.079, 4.188, 0.347, 0.613, 0.623, 0.225
0.15, 3.61, 0.284, 0.656, 0.598, 0.396
0.08, 4.305, 0.274, 0.553, 0.613, 0.131
0.093, 3.545, 0.302, 0.513, 0.617, 0.303
0.059, 3.719, 0.169, 0.59, 0.625, 0.453
0.09, 3.756, 0.369, 0.448, 0.597, 0.293
0.069, 4.466, 0.31, 0.678, 0.606, 0.047
0.1, 3.466, 0.262, 0.56, 0.575, 0.314
0.066, 4.403, 0.128, 0.534, 0.636, 0.134
0.082, 3.665, 0.324, 0.456, 0.608, 0.393
0.095, 3.928, 0.238, 0.616, 0.598, 0.303
0.071, 3.982, 0.262, 0.455, 0.601, 0.169
0.082, 4.342, 0.253, 0.54, 0.634, 0.059
0.129, 3.7, 0.422, 0.531, 0.598, 0.073
0.116, 3.253, 0.393, 0.682, 0.585, 0.309
0.128, 3.495, 0.267, 0.55, 0.607, 0.286
0.077, 3.824, 0.29, 0.601, 0.62, 0.129
0.103, 3.445, 0.232, 0.531, 0.608, 0.482
0.069, 4.363, 0.356, 0.62, 0.624, 0.022
0.092, 3.13, 0.206, 0.569, 0.64, 0.372
0.075, 3.995, 0.269, 0.607, 0.628, 0.207
0.113, 3.988, 0.372, 0.576, 0.61, 0.141
0.123, 2.854, 0.351, 0.665, 0.599, 0.455
0.125, 4.648, 0.273, 0.396, 0.589, 0.05
0.097, 3.95, 0.353, 0.47, 0.591, 0.26
0.102, 3.875, 0.326, 0.615, 0.623, 0.102
0.106, 4.356, 0.27, 0.483, 0.619, 0.015
0.144, 3.449, 0.435, 0.597, 0.598, 0.376
0.059, 3.788, 0.263, 0.561, 0.606, 0.263
0.075, 4.009, 0.486, 0.585, 0.588, 0.049
0.073, 3.657, 0.423, 0.672, 0.593, 0.163
0.077, 3.785, 0.317, 0.531, 0.598, 0.295
0.056, 4.083, 0.155, 0.568, 0.624, 0.27
0.108, 4.165, 0.34, 0.547, 0.583, 0.241
0.128, 3.88, 0.351, 0.733, 0.604, 0.361
0.131, 4.027, 0.366, 0.436, 0.562, 0.365
0.068, 3.452, 0.283, 0.5, 0.612, 0.046
0.128, 3.786, 0.337, 0.56, 0.585, 0.405
0.074, 4.511, 0.154, 0.554, 0.628, 0.001
0.15, 3.555, 0.485, 0.587, 0.554, 0.459
0.1, 3.275, 0.345, 0.746, 0.61, 0.431
0.105, 3.395, 0.267, 0.658, 0.635, 0.367
0.117, 3.8, 0.293, 0.659, 0.595, 0.441
0.066, 3.328, 0.401, 0.508, 0.613, 0.205
0.052, 3.621, 0.118, 0.541, 0.604, 0.114
0.118, 3.736, 0.229, 0.42, 0.606, 0.097
0.159, 4.267, 0.562, 0.466, 0.564, 0.282
0.114, 3.692, 0.266, 0.507, 0.585, 0.308
0.079, 4.27, 0.367, 0.595, 0.581, 0.01
0.124, 3.081, 0.441, 0.543, 0.572, 0.422
0.118, 3.426, 0.415, 0.647, 0.591, 0.129
0.051, 4.503, 0.2, 0.558, 0.619, 0.021
0.054, 3.747, 0.197, 0.619, 0.634, 0.142
0.131, 3.346, 0.402, 0.652, 0.593, 0.403
0.1, 3.641, 0.241, 0.588, 0.583, 0.399
0.107, 3.663, 0.211, 0.756, 0.624, 0.474
0.174, 3.583, 0.565, 0.808, 0.583, 0.259
0.071, 3.531, 0.154, 0.619, 0.636, 0.334
0.086, 3.421, 0.262, 0.549, 0.648, 0.228
0.147, 4.159, 0.457, 0.504, 0.573, 0.078
0.069, 4.017, 0.474, 0.654, 0.584, 0.032
0.138, 3.436, 0.335, 0.521, 0.563, 0.454
0.124, 4.072, 0.308, 0.476, 0.595, 0.24
0.063, 3.457, 0.247, 0.652, 0.648, 0.406
0.055, 3.965, 0.208, 0.454, 0.607, 0.039
0.138, 3.454, 0.306, 0.463, 0.592, 0.435
0.053, 3.772, 0.241, 0.648, 0.618, 0.321
0.168, 3.508, 0.56, 0.621, 0.565, 0.43
0.054, 3.749, 0.31, 0.586, 0.613, 0.038
0.134, 3.436, 0.422, 0.577, 0.588, 0.295
0.065, 3.708, 0.354, 0.693, 0.619, 0.184
0.114, 3.956, 0.403, 0.381, 0.579, 0.219
0.149, 4.356, 0.532, 0.525, 0.564, 0.232
0.056, 4.003, 0.161, 0.537, 0.634, 0.1
0.088, 3.621, 0.332, 0.496, 0.602, 0.405
0.064, 4.484, 0.104, 0.529, 0.641, 0.119
0.108, 3.483, 0.376, 0.701, 0.604, 0.223
0.103, 3.844, 0.45, 0.602, 0.576, 0.409
0.116, 3.582, 0.448, 0.622, 0.569, 0.449
0.109, 4.184, 0.319, 0.583, 0.619, 0.153
0.127, 3.997, 0.32, 0.569, 0.609, 0.257
0.104, 4.113, 0.306, 0.579, 0.622, 0.002
0.051, 4.256, 0.149, 0.548, 0.643, 0.084
0.1, 3.959, 0.305, 0.528, 0.616, 0.215
0.138, 3.734, 0.278, 0.588, 0.573, 0.228
0.098, 3.84, 0.266, 0.684, 0.592, 0.04
0.074, 3.839, 0.271, 0.592, 0.591, 0.278
0.072, 3.606, 0.196, 0.541, 0.604, 0.228
0.162, 3.533, 0.328, 0.489, 0.582, 0.392
0.105, 4.055, 0.472, 0.63, 0.582, 0.187
0.104, 3.688, 0.504, 0.572, 0.569, 0.081
0.077, 3.571, 0.465, 0.452, 0.578, 0.478
0.109, 4.594, 0.319, 0.537, 0.579, 0.048
0.063, 3.792, 0.275, 0.578, 0.601, 0.232
0.114, 4.467, 0.488, 0.613, 0.57, 0.311
0.108, 3.997, 0.381, 0.492, 0.593, 0.2
0.142, 4.201, 0.428, 0.709, 0.589, 0.135
0.128, 3.992, 0.251, 0.585, 0.597, 0.101
0.119, 4.616, 0.365, 0.563, 0.586, 0.191
0.063, 4.114, 0.201, 0.454, 0.619, 0.1
0.099, 3.765, 0.272, 0.556, 0.606, 0.222
0.079, 3.68, 0.144, 0.462, 0.638, 0.171
0.152, 3.511, 0.249, 0.496, 0.585, 0.325
0.093, 3.909, 0.161, 0.551, 0.633, 0.445
0.074, 3.644, 0.343, 0.575, 0.615, 0.164
0.104, 4.339, 0.361, 0.551, 0.58, 0.181
0.066, 3.826, 0.437, 0.638, 0.574, 0.123
0.061, 3.945, 0.244, 0.622, 0.641, 0.254
0.089, 3.397, 0.303, 0.678, 0.598, 0.233
0.059, 3.189, 0.415, 0.505, 0.582, 0.472
0.138, 3.866, 0.337, 0.553, 0.584, 0.452
0.142, 3.839, 0.474, 0.56, 0.573, 0.473
0.107, 4.213, 0.353, 0.508, 0.562, 0.176
0.087, 3.965, 0.28, 0.491, 0.585, 0.266
0.09, 4.047, 0.311, 0.571, 0.586, 0.091
0.086, 3.268, 0.182, 0.667, 0.622, 0.461
0.152, 3.768, 0.224, 0.512, 0.586, 0.477
0.055, 3.765, 0.245, 0.571, 0.617, 0.297
0.107, 3.825, 0.286, 0.559, 0.599, 0.495
0.093, 3.959, 0.162, 0.439, 0.618, 0.021
0.121, 3.386, 0.305, 0.448, 0.592, 0.329
0.053, 3.372, 0.26, 0.579, 0.611, 0.474
0.078, 3.766, 0.262, 0.575, 0.602, 0.25
0.093, 3.156, 0.184, 0.65, 0.633, 0.453
0.074, 4.241, 0.258, 0.616, 0.616, 0.061
0.116, 4.056, 0.412, 0.59, 0.582, 0.397
0.116, 3.277, 0.345, 0.695, 0.618, 0.288
0.103, 3.524, 0.407, 0.582, 0.588, 0.043
0.135, 3.585, 0.434, 0.578, 0.593, 0.481
0.08, 4.293, 0.228, 0.396, 0.6, 0.137
0.073, 4.168, 0.155, 0.441, 0.64, 0.129
0.071, 3.819, 0.289, 0.662, 0.615, 0.102
0.115, 4.236, 0.373, 0.512, 0.581, 0.192
0.101, 3.589, 0.245, 0.63, 0.617, 0.356
0.142, 3.856, 0.459, 0.561, 0.566, 0.473
0.076, 4.295, 0.422, 0.63, 0.577, 0.065
0.117, 3.715, 0.376, 0.617, 0.571, 0.332
0.086, 3.83, 0.224, 0.608, 0.614, 0.201
0.062, 3.712, 0.135, 0.634, 0.624, 0.389
0.087, 4.086, 0.207, 0.559, 0.605, 0.234
0.081, 3.554, 0.247, 0.492, 0.593, 0.315
0.063, 3.808, 0.316, 0.605, 0.63, 0.106
0.084, 4.277, 0.244, 0.455, 0.643, 0.166
0.128, 4.171, 0.346, 0.609, 0.588, 0.248
0.171, 3.778, 0.482, 0.587, 0.546, 0.332
0.163, 3.614, 0.46, 0.661, 0.585, 0.438
0.18, 3.415, 0.667, 0.61, 0.555, 0.398
0.113, 3.914, 0.407, 0.55, 0.573, 0.302
0.103, 4.066, 0.363, 0.609, 0.603, 0.29
0.08, 3.855, 0.121, 0.625, 0.629, 0.323
0.134, 3.617, 0.475, 0.512, 0.571, 0.286
0.091, 4.301, 0.278, 0.479, 0.603, 0.19
0.14, 3.324, 0.374, 0.476, 0.601, 0.353
0.083, 3.632, 0.434, 0.61, 0.589, 0.274
0.105, 3.845, 0.407, 0.533, 0.571, 0.458
0.064, 4.108, 0.275, 0.443, 0.576, 0.156
0.155, 3.52, 0.527, 0.459, 0.557, 0.226
0.126, 3.653, 0.249, 0.651, 0.585, 0.353
0.089, 3.976, 0.149, 0.359, 0.617, 0.419
0.102, 3.497, 0.271, 0.656, 0.606, 0.299
0.158, 4.219, 0.483, 0.559, 0.571, 0.283
0.141, 3.905, 0.311, 0.433, 0.578, 0.446
0.156, 3.911, 0.457, 0.496, 0.578, 0.331
0.077, 4.078, 0.265, 0.615, 0.649, 0.054
0.071, 3.683, 0.329, 0.599, 0.604, 0.424
0.065, 4.057, 0.226, 0.701, 0.638, 0.031
0.149, 4.036, 0.403, 0.6, 0.569, 0.366
0.141, 3.742, 0.428, 0.664, 0.586, 0.317
0.162, 3.489, 0.349, 0.712, 0.601, 0.389
0.136, 3.646, 0.429, 0.542, 0.563, 0.359
0.081, 4.233, 0.318, 0.556, 0.576, 0.123
0.075, 3.883, 0.281, 0.513, 0.571, 0.442
0.102, 4.339, 0.135, 0.494, 0.647, 0.179
0.085, 4.079, 0.278, 0.44, 0.624, 0.035
0.09, 4.166, 0.298, 0.596, 0.618, 0.039
0.055, 4.314, 0.219, 0.55, 0.624, 0.19
0.129, 3.722, 0.446, 0.639, 0.609, 0.197
0.091, 4.243, 0.121, 0.546, 0.636, 0.174
0.182, 3.986, 0.509, 0.508, 0.566, 0.09
0.089, 3.883, 0.189, 0.657, 0.652, 0.431
0.096, 3.949, 0.396, 0.621, 0.579, 0.142
0.071, 4.004, 0.246, 0.495, 0.618, 0.084
0.119, 4.048, 0.323, 0.562, 0.597, 0.017
0.05, 4.363, 0.34, 0.526, 0.58, 0.115
0.09, 4.311, 0.322, 0.521, 0.607, 0.066
0.166, 3.191, 0.485, 0.601, 0.547, 0.424
0.061, 4.104, 0.195, 0.583, 0.617, 0.046
0.107, 3.691, 0.15, 0.677, 0.618, 0.436
0.109, 3.766, 0.441, 0.667, 0.602, 0.392
0.059, 3.769, 0.271, 0.548, 0.583, 0.399
0.105, 3.844, 0.153, 0.482, 0.609, 0.309
0.051, 4.388, 0.276, 0.583, 0.631, 0.132
0.111, 3.644, 0.215, 0.517, 0.624, 0.341
0.068, 4.312, 0.241, 0.562, 0.601, 0.232
0.092, 4.099, 0.406, 0.501, 0.563, 0.11
0.208, 4.084, 0.618, 0.612, 0.537, 0.267
0.081, 3.404, 0.267, 0.524, 0.607, 0.167
0.137, 3.737, 0.461, 0.542, 0.56, 0.472
0.072, 3.538, 0.11, 0.59, 0.626, 0.361
0.141, 4.036, 0.316, 0.449, 0.584, 0.131
0.143, 4.078, 0.24, 0.553, 0.576, 0.471
0.057, 3.751, 0.277, 0.48, 0.598, 0.271
0.15, 3.723, 0.441, 0.585, 0.574, 0.274
0.148, 3.832, 0.351, 0.518, 0.578, 0.298
0.101, 3.15, 0.279, 0.593, 0.597, 0.467
0.082, 4.145, 0.345, 0.586, 0.583, 0.233
0.088, 4.453, 0.308, 0.594, 0.611, 0.051
0.079, 3.981, 0.312, 0.492, 0.604, 0.434
0.07, 4.154, 0.337, 0.589, 0.586, 0.376
0.11, 3.327, 0.402, 0.666, 0.606, 0.065
0.087, 4.052, 0.372, 0.598, 0.59, 0.112
0.115, 3.694, 0.261, 0.414, 0.586, 0.326
0.079, 4.193, 0.421, 0.512, 0.575, 0.05
0.152, 3.861, 0.424, 0.5, 0.571, 0.479
0.111, 4.081, 0.353, 0.568, 0.563, 0.17
0.101, 3.451, 0.49, 0.541, 0.574, 0.429
0.129, 3.714, 0.458, 0.606, 0.598, 0.206
0.201, 3.725, 0.333, 0.527, 0.585, 0.368
0.064, 4.202, 0.288, 0.611, 0.599, 0.32
0.13, 4.187, 0.357, 0.602, 0.576, 0.174
0.098, 3.72, 0.298, 0.506, 0.609, 0.044
0.088, 2.983, 0.197, 0.643, 0.613, 0.401
0.078, 4.182, 0.192, 0.462, 0.612, 0.115
0.075, 3.995, 0.358, 0.476, 0.609, 0.182
0.079, 3.683, 0.203, 0.395, 0.607, 0.337
0.097, 3.537, 0.299, 0.633, 0.571, 0.252
0.087, 3.759, 0.211, 0.511, 0.647, 0.108
0.151, 3.796, 0.235, 0.514, 0.544, 0.403
0.078, 3.741, 0.3, 0.526, 0.601, 0.061
0.092, 3.439, 0.365, 0.63, 0.608, 0.025
0.126, 4.02, 0.362, 0.568, 0.604, 0.368
0.108, 4.217, 0.193, 0.55, 0.632, 0.223
0.168, 3.886, 0.279, 0.633, 0.595, 0.144
0.087, 3.335, 0.236, 0.412, 0.603, 0.436
0.062, 3.397, 0.346, 0.666, 0.64, 0.313
0.136, 4.146, 0.315, 0.624, 0.598, 0.291
0.065, 3.941, 0.159, 0.484, 0.613, 0.216
0.066, 4.048, 0.188, 0.5, 0.642, 0.191
0.091, 3.685, 0.339, 0.591, 0.625, 0.314
0.06, 4.017, 0.137, 0.597, 0.643, 0.151
0.11, 3.589, 0.372, 0.572, 0.595, 0.158
0.071, 3.806, 0.232, 0.472, 0.59, 0.299
0.078, 3.815, 0.242, 0.607, 0.616, 0.468
0.119, 3.694, 0.444, 0.577, 0.588, 0.266
0.185, 3.752, 0.307, 0.542, 0.587, 0.406
0.068, 3.467, 0.344, 0.62, 0.594, 0.265
0.094, 3.766, 0.22, 0.527, 0.613, 0.403
0.118, 3.986, 0.386, 0.589, 0.57, 0.13
0.102, 3.315, 0.304, 0.741, 0.589, 0.486
0.072, 3.054, 0.143, 0.601, 0.64, 0.459
0.091, 4.049, 0.15, 0.608, 0.601, 0.449
0.088, 4.611, 0.361, 0.589, 0.592, 0.1
0.086, 3.756, 0.336, 0.598, 0.586, 0.457
0.118, 3.187, 0.349, 0.651, 0.596, 0.383
0.081, 4.106, 0.274, 0.622, 0.6, 0.292
0.116, 3.663, 0.189, 0.372, 0.615, 0.055
0.076, 4.412, 0.379, 0.787, 0.599, 0.021
0.111, 4.122, 0.32, 0.49, 0.593, 0.078
0.052, 3.473, 0.255, 0.598, 0.624, 0.227
0.147, 4.176, 0.453, 0.542, 0.564, 0.32
0.089, 3.748, 0.379, 0.659, 0.625, 0.103
0.148, 3.947, 0.453, 0.414, 0.559, 0.392
0.081, 4.081, 0.431, 0.395, 0.569, 0.172
0.111, 4.181, 0.325, 0.538, 0.596, 0.162
0.079, 3.468, 0.373, 0.65, 0.608, 0.482
0.103, 4.06, 0.341, 0.559, 0.599, 0.471
0.162, 4.028, 0.391, 0.619, 0.61, 0.1
0.077, 3.547, 0.261, 0.616, 0.594, 0.458
0.056, 3.454, 0.149, 0.481, 0.624, 0.208
0.164, 3.521, 0.466, 0.532, 0.55, 0.198
0.155, 3.839, 0.377, 0.358, 0.572, 0.366
0.051, 4.245, 0.184, 0.58, 0.629, 0.162
0.148, 3.588, 0.351, 0.603, 0.595, 0.462
0.101, 3.541, 0.482, 0.646, 0.577, 0.312
0.077, 4.295, 0.395, 0.51, 0.605, 0.263
0.076, 3.873, 0.285, 0.48, 0.6, 0.155
0.135, 4.147, 0.334, 0.644, 0.596, 0.149
0.13, 3.647, 0.434, 0.562, 0.594, 0.461
0.079, 4.543, 0.337, 0.529, 0.613, 0.118
0.109, 4.175, 0.202, 0.622, 0.608, 0.291
0.127, 3.968, 0.293, 0.59, 0.633, 0.073
0.069, 3.891, 0.28, 0.462, 0.582, 0.422
0.094, 3.879, 0.401, 0.422, 0.592, 0.394
0.063, 3.941, 0.221, 0.622, 0.645, 0.262
0.074, 3.693, 0.256, 0.478, 0.6, 0.397
0.216, 3.36, 0.54, 0.758, 0.586, 0.497
0.159, 3.215, 0.27, 0.596, 0.597, 0.496
0.102, 4.137, 0.27, 0.537, 0.593, 0.281
0.17, 3.692, 0.57, 0.501, 0.54, 0.43
0.104, 3.567, 0.327, 0.624, 0.612, 0.381
0.098, 4.346, 0.347, 0.385, 0.581, 0.08
0.074, 3.93, 0.329, 0.518, 0.583, 0.159
0.107, 4.345, 0.375, 0.51, 0.572, 0.147
0.204, 3.873, 0.315, 0.469, 0.592, 0.46
0.081, 3.958, 0.187, 0.538, 0.634, 0.448
0.108, 3.949, 0.429, 0.555, 0.596, 0.311
0.132, 4.546, 0.471, 0.548, 0.588, 0.195
0.157, 4.227, 0.206, 0.491, 0.602, 0.033
0.17, 3.361, 0.328, 0.634, 0.594, 0.5
0.076, 4.023, 0.11, 0.473, 0.617, 0.298
0.106, 4.12, 0.252, 0.451, 0.595, 0.224
0.097, 4.018, 0.258, 0.533, 0.592, 0.434
0.057, 4.401, 0.21, 0.5, 0.628, 0.131
0.106, 4.056, 0.591, 0.573, 0.57, 0.06
0.107, 4.202, 0.358, 0.539, 0.583, 0.145
0.091, 3.789, 0.139, 0.513, 0.649, 0.217
0.157, 3.913, 0.109, 0.518, 0.581, 0.484
0.079, 3.887, 0.313, 0.537, 0.585, 0.169
0.186, 3.772, 0.472, 0.546, 0.541, 0.309
0.096, 3.461, 0.248, 0.81, 0.605, 0.408
0.107, 3.926, 0.509, 0.693, 0.565, 0.171
0.095, 3.981, 0.191, 0.6, 0.625, 0.275
0.151, 3.839, 0.519, 0.634, 0.57, 0.395
0.161, 3.717, 0.365, 0.545, 0.569, 0.357
0.131, 3.934, 0.165, 0.548, 0.602, 0.427
0.103, 4.137, 0.315, 0.618, 0.605, 0.325
0.157, 4.035, 0.545, 0.568, 0.565, 0.13
0.154, 3.786, 0.699, 0.538, 0.538, 0.189
0.078, 3.679, 0.397, 0.55, 0.585, 0.146
0.14, 4.068, 0.355, 0.639, 0.585, 0.25
0.069, 4.306, 0.134, 0.688, 0.615, 0.238
0.116, 3.549, 0.277, 0.448, 0.608, 0.234
0.139, 3.385, 0.353, 0.53, 0.58, 0.433
0.079, 3.473, 0.114, 0.496, 0.668, 0.447
0.071, 3.898, 0.157, 0.413, 0.61, 0.091
0.164, 3.792, 0.341, 0.504, 0.585, 0.357
0.113, 4.05, 0.457, 0.612, 0.585, 0.262
0.087, 4.436, 0.223, 0.516, 0.608, 0.221
0.097, 3.657, 0.309, 0.6, 0.613, 0.091
0.094, 3.406, 0.362, 0.475, 0.587, 0.39
0.073, 3.881, 0.168, 0.679, 0.621, 0.23
0.086, 3.363, 0.378, 0.633, 0.602, 0.148
0.15, 3.665, 0.279, 0.547, 0.593, 0.249
0.069, 3.562, 0.261, 0.475, 0.581, 0.391
0.087, 3.713, 0.384, 0.575, 0.581, 0.218
0.092, 3.992, 0.269, 0.512, 0.586, 0.255
0.106, 3.35, 0.432, 0.489, 0.583, 0.496
0.096, 3.391, 0.44, 0.627, 0.599, 0.322
0.062, 3.958, 0.228, 0.442, 0.615, 0.04
0.129, 3.923, 0.158, 0.546, 0.604, 0.229
0.088, 4.183, 0.322, 0.647, 0.617, 0.377
0.118, 4.015, 0.345, 0.565, 0.581, 0.172
0.051, 3.839, 0.305, 0.602, 0.611, 0.11
0.151, 3.947, 0.509, 0.576, 0.597, 0.167
0.12, 3.33, 0.406, 0.62, 0.577, 0.414
0.098, 4.528, 0.258, 0.554, 0.609, 0.021
0.064, 3.998, 0.333, 0.438, 0.628, 0.195
0.08, 3.849, 0.279, 0.566, 0.607, 0.242
0.145, 3.889, 0.505, 0.71, 0.574, 0.379
0.135, 3.544, 0.469, 0.486, 0.576, 0.436
0.057, 3.773, 0.223, 0.395, 0.609, 0.248
0.061, 4.31, 0.159, 0.534, 0.62, 0.212
0.071, 3.774, 0.224, 0.478, 0.622, 0.288
0.118, 3.228, 0.292, 0.448, 0.591, 0.296
0.161, 3.365, 0.141, 0.43, 0.632, 0.484
0.108, 4.035, 0.27, 0.563, 0.595, 0.158
0.143, 3.347, 0.279, 0.553, 0.592, 0.459
0.076, 3.148, 0.255, 0.604, 0.619, 0.248
0.132, 4.175, 0.231, 0.419, 0.603, 0.149
0.131, 3.615, 0.246, 0.522, 0.595, 0.379
0.094, 4.504, 0.103, 0.599, 0.631, 0.479
0.135, 4.03, 0.417, 0.359, 0.56, 0.179
0.121, 3.879, 0.269, 0.573, 0.602, 0.278
0.107, 3.778, 0.206, 0.559, 0.59, 0.333
0.118, 3.684, 0.35, 0.473, 0.596, 0.357
0.093, 3.359, 0.243, 0.728, 0.616, 0.484
0.084, 3.905, 0.147, 0.544, 0.633, 0.302
0.149, 4.292, 0.378, 0.588, 0.592, 0.389
0.114, 3.889, 0.37, 0.596, 0.605, 0.209
0.066, 4.09, 0.26, 0.568, 0.607, 0.315
0.056, 3.674, 0.212, 0.74, 0.623, 0.3
0.127, 4.195, 0.349, 0.509, 0.58, 0.129
0.099, 4.007, 0.105, 0.303, 0.634, 0.201
0.132, 3.709, 0.457, 0.645, 0.591, 0.42
0.112, 3.751, 0.476, 0.722, 0.595, 0.49
0.076, 4.224, 0.197, 0.525, 0.609, 0.335
0.148, 3.487, 0.424, 0.547, 0.569, 0.442
0.073, 3.957, 0.285, 0.523, 0.597, 0.345
0.102, 3.852, 0.335, 0.43, 0.607, 0.049
0.058, 4.19, 0.271, 0.568, 0.608, 0.104
0.069, 4.119, 0.322, 0.48, 0.607, 0.435
0.137, 3.574, 0.378, 0.62, 0.581, 0.162
0.076, 3.896, 0.428, 0.662, 0.597, 0.068
0.099, 3.972, 0.367, 0.431, 0.596, 0.097
0.092, 4.371, 0.324, 0.418, 0.616, 0.089
0.089, 3.45, 0.379, 0.664, 0.606, 0.28
0.103, 3.748, 0.352, 0.556, 0.557, 0.135
0.089, 3.963, 0.295, 0.547, 0.615, 0.11
0.12, 3.692, 0.296, 0.459, 0.582, 0.486
0.052, 3.429, 0.181, 0.51, 0.606, 0.332
0.128, 3.347, 0.492, 0.526, 0.557, 0.47
0.082, 4.067, 0.18, 0.519, 0.607, 0.213
0.093, 3.547, 0.213, 0.484, 0.606, 0.417
0.087, 3.758, 0.346, 0.546, 0.592, 0.402
0.111, 4.62, 0.186, 0.466, 0.596, 0.356
0.111, 3.798, 0.203, 0.527, 0.561, 0.4
0.113, 3.585, 0.352, 0.587, 0.591, 0.4
0.133, 3.992, 0.298, 0.568, 0.62, 0.362
0.067, 3.863, 0.151, 0.498, 0.617, 0.398
0.109, 4.085, 0.18, 0.543, 0.595, 0.376
