# m [GeV], BG [GeV^{−2}],  BGq [GeV^{−2}], smearingWidth, Qsg2muRatio, dqMin [fm]
0.062, 4.572, 0.14, 0.546, 0.628, 0.044
0.098, 4.596, 0.26, 0.559, 0.609, 0.002
0.08, 4.126, 0.227, 0.44, 0.605, 0.008
0.101, 4.43, 0.365, 0.519, 0.58, 0.053
0.115, 3.858, 0.51, 0.49, 0.546, 0.264
0.062, 4.147, 0.165, 0.574, 0.636, 0.124
0.14, 3.932, 0.436, 0.626, 0.59, 0.228
0.167, 4.141, 0.416, 0.615, 0.563, 0.372
0.07, 4.534, 0.248, 0.496, 0.626, 0.164
0.127, 4.09, 0.267, 0.534, 0.602, 0.122
0.131, 3.19, 0.305, 0.707, 0.63, 0.343
0.078, 4.036, 0.362, 0.43, 0.58, 0.012
0.068, 3.618, 0.199, 0.629, 0.625, 0.282
0.082, 4.376, 0.194, 0.444, 0.604, 0.282
0.091, 3.846, 0.342, 0.522, 0.577, 0.449
0.108, 3.73, 0.273, 0.452, 0.618, 0.372
0.101, 3.906, 0.296, 0.451, 0.579, 0.224
0.111, 4.061, 0.364, 0.557, 0.605, 0.177
0.171, 3.747, 0.474, 0.496, 0.566, 0.259
0.087, 3.701, 0.322, 0.507, 0.585, 0.286
0.058, 4.444, 0.269, 0.535, 0.618, 0.004
0.055, 3.778, 0.215, 0.651, 0.63, 0.191
0.059, 3.899, 0.178, 0.522, 0.61, 0.073
0.119, 3.974, 0.405, 0.627, 0.613, 0.185
0.138, 3.843, 0.455, 0.649, 0.571, 0.294
0.136, 3.794, 0.457, 0.634, 0.583, 0.422
0.06, 3.646, 0.198, 0.635, 0.612, 0.382
0.113, 4.193, 0.24, 0.458, 0.611, 0.069
0.062, 3.629, 0.306, 0.608, 0.615, 0.425
0.206, 4.284, 0.437, 0.48, 0.543, 0.429
0.125, 3.431, 0.415, 0.519, 0.587, 0.177
0.106, 3.652, 0.315, 0.522, 0.598, 0.304
0.103, 3.857, 0.434, 0.483, 0.587, 0.437
0.084, 3.726, 0.244, 0.539, 0.615, 0.267
0.124, 3.899, 0.283, 0.624, 0.621, 0.226
0.051, 4.045, 0.203, 0.61, 0.618, 0.227
0.086, 4.091, 0.168, 0.585, 0.624, 0.104
